name,mana_cost,card_type,power,card_text,artist,collection,lowPrice,highPrice,front_image,back_image
Karn Liberated,{7},Legendary Planeswalker — Karn,6,"+4: Target player exiles a card from their hand. −3: Exile target permanent. −14: Restart the game, leaving in exile all non-Aura permanent cards exiled with Karn Liberated. Then put those cards onto the battlefield under your control.",Jason Chan,Double Masters,28.43,28.43,https://c1.scryfall.com/file/scryfall-cards/png/front/4/b/4b0c6662-4dde-40a2-97e0-0318478c0367.png?1599705787,-
Alabaster Mage,{1}{W},Creature — Human Wizard,2/1,{1}{W}: Target creature you control gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.),Izzy,Double Masters,0.02,0.02,https://c1.scryfall.com/file/scryfall-cards/png/front/0/e/0ef65e86-3759-465d-862b-29516eed46e6.png?1599707997,-
Ancestral Blade,{1}{W},Artifact — Equipment,-,"When Ancestral Blade enters the battlefield, create a 1/1 white Soldier creature token, then attach Ancestral Blade to it. Equipped creature gets +1/+1. Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",Scott Murphy,Double Masters,0.04,0.04,https://c1.scryfall.com/file/scryfall-cards/png/front/6/8/68ca85e4-f1ca-47ff-bb67-eb0d66d35cc8.png?1599710109,-
Angel of the Dawn,{4}{W},Creature — Angel,3/3,"Flying When Angel of the Dawn enters the battlefield, creatures you control get +1/+1 and gain vigilance until end of turn.",Livia Prima,Double Masters,0.06,0.06,https://c1.scryfall.com/file/scryfall-cards/png/front/5/c/5ccfe469-3fa7-4672-ae15-8f25971e7c56.png?1598303058,-
Archangel of Thune,{3}{W}{W},Creature — Angel,3/4,"Flying Lifelink (Damage dealt by this creature also causes you to gain that much life.) Whenever you gain life, put a +1/+1 counter on each creature you control.",James Ryman,Double Masters,21.7,21.7,https://c1.scryfall.com/file/scryfall-cards/png/front/1/5/15c34447-b0f4-4fcc-b557-23c92850b31b.png?1598303082,-
Auriok Salvagers,{3}{W},Creature — Human Soldier,2/4,{1}{W}: Return target artifact card with mana value 1 or less from your graveyard to your hand.,Randy Gallegos,Double Masters,0.17,0.17,https://c1.scryfall.com/file/scryfall-cards/png/front/b/e/befb996b-1da6-41a3-8d9a-a45c2353c401.png?1598303109,-
Austere Command,{4}{W}{W},Sorcery,-,Choose two —,Destroy all enchantments.,Double Masters,2.76,2.76,https://c1.scryfall.com/file/scryfall-cards/png/front/d/3/d36e87ca-71e1-43d2-841f-b01a58fe27f0.png?1598303136,-
"Avacyn, Angel of Hope",{5}{W}{W}{W},Legendary Creature — Angel,8/8,"Flying, vigilance, indestructible Other permanents you control have indestructible.",Jason Chan,Double Masters,42.59,42.59,https://c1.scryfall.com/file/scryfall-cards/png/front/a/0/a0519776-3d86-4f7d-9c3b-71c1dfbf7e12.png?1598303166,-
Blade Splicer,{2}{W},Creature — Phyrexian Human Artificer,1/1,"When Blade Splicer enters the battlefield, create a 3/3 colorless Phyrexian Golem artifact creature token. Golems you control have first strike.",Greg Staples,Double Masters,0.56,0.56,https://c1.scryfall.com/file/scryfall-cards/png/front/2/7/277bc4e5-f43a-4f1e-a7e9-11796e78fcdf.png?1599254148,-
Boon Reflection,{4}{W},Enchantment,-,"If you would gain life, you gain twice that much life instead.",Chris Seaman,Double Masters,3.04,3.04,https://c1.scryfall.com/file/scryfall-cards/png/front/0/d/0d4032a7-600c-4b30-a012-fe3cde1be9c9.png?1599705804,-
Council's Judgment,{1}{W}{W},Sorcery,-,"Will of the council — Starting with you, each player votes for a nonland permanent you don't control. Exile each permanent with the most votes or tied for most votes.",Kev Walker,Double Masters,2.12,2.12,https://c1.scryfall.com/file/scryfall-cards/png/front/a/a/aaa187c9-90b3-4770-963a-8a9f932430ef.png?1599706018,-
Crib Swap,{2}{W},Tribal Instant — Shapeshifter,-,Changeling (This card is every creature type.) Exile target creature. Its controller creates a 1/1 colorless Shapeshifter creature token with changeling.,Brandon Dorman,Double Masters,0.24,0.24,https://c1.scryfall.com/file/scryfall-cards/png/front/6/c/6c53df6a-618d-40d4-a390-44b2e3202d7d.png?1599706238,-
Crusader of Odric,{2}{W},Creature — Human Soldier,*/*,Crusader of Odric's power and toughness are each equal to the number of creatures you control.,Michael Komarck,Double Masters,0.07,0.07,https://c1.scryfall.com/file/scryfall-cards/png/front/b/8/b81e6aaa-aea4-4187-a4ca-fbbea0d10c7d.png?1599706450,-
Ethersworn Canonist,{1}{W},Artifact Creature — Human Cleric,2/2,Each player who has cast a nonartifact spell this turn can't cast additional nonartifact spells.,Izzy,Double Masters,8.51,8.51,https://c1.scryfall.com/file/scryfall-cards/png/front/a/b/abc8e0f8-fdb9-4f24-a3e3-439f6cc3ebdc.png?1599706625,-
Fencing Ace,{1}{W},Creature — Human Soldier,1/1,Double strike,David Rapoza,Double Masters,0.03,0.03,https://c1.scryfall.com/file/scryfall-cards/png/front/d/5/d5f198c0-5819-42fc-89f5-cad46cf8d5d1.png?1599706822,-
Flickerwisp,{1}{W}{W},Creature — Elemental,3/1,"Flying When Flickerwisp enters the battlefield, exile another target permanent. Return that card to the battlefield under its owner's control at the beginning of the next end step.",Jeremy Enecio,Double Masters,0.16,0.16,https://c1.scryfall.com/file/scryfall-cards/png/front/5/f/5f0ed8ee-d6ea-469c-a575-6643d3995f54.png?1599707039,-
Fortify,{2}{W},Instant,-,Choose one —,Creatures you control get +0/+2 until end of turn.,Double Masters,0.02,0.02,https://c1.scryfall.com/file/scryfall-cards/png/front/4/9/4974169a-f454-4b8a-9301-18498c73c5ab.png?1599707254,-
Glint-Sleeve Artisan,{2}{W},Creature — Dwarf Artificer,2/2,"Fabricate 1 (When this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)",Ryan Pancoast,Double Masters,0.03,0.03,https://c1.scryfall.com/file/scryfall-cards/png/front/1/c/1c2fd5ac-963b-49ea-bd72-d0958ef8eb3e.png?1599707521,-
"Kemba, Kha Regent",{1}{W}{W},Legendary Creature — Cat Cleric,2/4,"At the beginning of your upkeep, create a 2/2 white Cat creature token for each Equipment attached to Kemba, Kha Regent.",Todd Lockwood,Double Masters,0.27,0.27,https://c1.scryfall.com/file/scryfall-cards/png/front/e/8/e8e92cf6-8382-44b5-9f14-c91e572685b9.png?1599707777,-
Land Tax,{W},Enchantment,-,"At the beginning of your upkeep, if an opponent controls more lands than you, you may search your library for up to three basic land cards, reveal them, put them into your hand, then shuffle.",Chuck Lukacs,Double Masters,29.24,29.24,https://c1.scryfall.com/file/scryfall-cards/png/front/9/5/95bba319-5f66-4085-9f2a-ab71f727ab64.png?1599708011,-
Leonin Abunas,{3}{W},Creature — Cat Cleric,2/5,Artifacts you control have hexproof. (They can't be the targets of spells or abilities your opponents control.),Carl Critchlow,Double Masters,1.65,1.65,https://c1.scryfall.com/file/scryfall-cards/png/front/1/4/14397b59-ff0d-4838-92c3-9728bf6b0af5.png?1599824768,-
Master Splicer,{3}{W},Creature — Phyrexian Human Artificer,1/1,"When Master Splicer enters the battlefield, create a 3/3 colorless Phyrexian Golem artifact creature token. Golems you control get +1/+1.",Chippy,Double Masters,0.1,0.1,https://c1.scryfall.com/file/scryfall-cards/png/front/f/3/f32e82fc-6613-462b-b11f-523db195f435.png?1599708394,-
Myrsmith,{1}{W},Creature — Human Artificer,2/1,"Whenever you cast an artifact spell, you may pay {1}. If you do, create a 1/1 colorless Myr artifact creature token.",Eric Deschamps,Double Masters,0.09,0.09,https://c1.scryfall.com/file/scryfall-cards/png/front/7/8/783c15b7-6a7f-471e-b9f7-8c38115e66c0.png?1599708635,-
